,ticker,quarter,year,pte,ptb,roe,roa,epsChange,bookValuePerShareChange,payableOnEquity,equityOnAsset,potentialScore,riskScore,potential
157,VCB,2,2020,0.2611940298507463,0.4482758620689654,0.22,0.016,0.014,0.053,0.438095238095238,0.076,0.5629814672253538,0.43701853277464625,1.0
158,VCB,1,2020,0.0,0.20689655172413793,0.228,0.016,-0.029,-0.008,0.4666666666666666,0.074,0.49590143096834693,0.5040985690316531,0.0
159,VCB,4,2019,0.7761194029850746,1.0,0.248,0.016,-0.045,0.054,0.5428571428571428,0.07,0.4532551967245719,0.5467448032754282,0.0
160,VCB,3,2019,0.5373134328358209,0.9310344827586207,0.272,0.018,0.122,0.065,0.5333333333333332,0.07,0.5231421477795936,0.47685785222040644,1.0
161,VCB,2,2019,0.4850746268656717,0.7931034482758619,0.256,0.016,0.091,0.047,0.5809523809523808,0.068,0.5183059144125959,0.4816940855874041,1.0
162,VCB,1,2019,0.5447761194029852,0.7931034482758619,0.246,0.015,-0.152,-0.105,0.5809523809523808,0.068,0.5337266917950125,0.4662733082049874,1.0
163,VCB,4,2018,0.059701492537313494,0.3793103448275862,0.249,0.014,0.211,0.038,0.780952380952381,0.06,0.5497489708920845,0.4502510291079155,1.0
164,VCB,3,2018,0.47014925373134336,0.5862068965517241,0.209,0.013,0.07,0.05,0.7238095238095237,0.062,,,1.0
165,VCB,2,2018,0.4477611940298508,0.5517241379310345,0.205,0.012,0.088,0.045,0.7714285714285712,0.06,,,1.0
166,VCB,1,2018,0.8880597014925373,0.8620689655172413,0.196,0.012,0.143,0.037,0.8857142857142855,0.056,,,1.0
167,VCB,4,2017,0.6716417910447762,0.5517241379310345,0.176,0.01,0.117,-0.003,1.0,0.052,,,1.0
168,VCB,3,2017,0.3059701492537315,0.17241379310344826,0.16,0.01,0.067,0.041,0.7619047619047618,0.06,,,1.0
169,VCB,2,2017,0.3955223880597016,0.20689655172413793,0.152,0.01,0.06,0.036,0.7333333333333333,0.061,,,1.0
170,VCB,1,2017,0.4179104477611942,0.20689655172413793,0.148,0.01,0.054,0.021,0.6857142857142857,0.063,,,1.0
171,VCB,4,2016,0.43283582089552247,0.17241379310344826,0.144,0.009,0.012,0.037,0.7047619047619047,0.063,,,1.0
172,VCB,3,2016,0.5597014925373135,0.2758620689655171,0.148,0.01,0.074,-0.021,0.657142857142857,0.064,,,1.0
173,VCB,2,2016,0.5074626865671643,0.17241379310344826,0.134,0.01,0.044,0.03,0.5142857142857142,0.072,,,1.0
174,VCB,1,2016,0.3656716417910447,0.06896551724137936,0.132,0.01,0.133,0.026,0.5142857142857142,0.071,,,1.0
175,VCB,4,2015,0.6417910447761196,0.13793103448275856,0.118,0.009,0.075,0.045,0.5809523809523808,0.068,,,1.0
176,VCB,3,2015,0.7238805970149254,0.17241379310344826,0.113,0.009,0.028,-0.037,0.5142857142857142,0.071,,,1.0
177,VCB,2,2015,1.0,0.24137931034482762,0.107,0.009,0.058,0.027,0.3809523809523809,0.079,,,1.0
178,VCB,1,2015,0.5074626865671643,0.0,0.103,0.009,-0.008,0.007,0.33333333333333326,0.082,,,1.0
179,VHM,4,2022,0.0,0.0,0.21,0.097,-0.095,0.066,0.5384615384615384,0.4,,,1.0
180,VHM,3,2022,0.04069767441860466,0.07547169811320757,0.253,0.113,0.118,0.121,0.5384615384615384,0.397,,,1.0
181,VHM,2,2022,0.19186046511627908,0.1886792452830189,0.261,0.107,-0.259,-0.063,0.6153846153846154,0.379,,,1.0
182,VHM,1,2022,0.12209302325581399,0.24528301886792456,0.347,0.173,-0.022,0.007,0.0,0.552,,,1.0
183,VHM,4,2021,0.15116279069767447,0.28301886792452835,0.364,0.175,0.011,0.125,0.0,0.557,,,1.0
184,VHM,3,2021,0.13372093023255813,0.32075471698113206,0.409,0.175,0.152,0.19,0.07692307692307698,0.519,,,1.0
185,VHM,2,2021,0.2906976744186047,0.5283018867924528,0.408,0.154,0.27,0.052,0.30769230769230776,0.454,,,1.0
186,VHM,1,2021,0.3197674418604652,0.4150943396226416,0.343,0.129,-0.052,0.057,0.3846153846153846,0.439,,,1.0
187,VHM,4,2020,0.23255813953488377,0.3962264150943396,0.393,0.135,0.247,0.15,0.5384615384615384,0.401,,,1.0
188,VHM,3,2020,0.2674418604651163,0.37735849056603776,0.347,0.117,0.027,0.097,0.8461538461538461,0.34,,,1.0
189,VHM,2,2020,0.27906976744186046,0.43396226415094336,0.358,0.119,-0.151,0.085,1.0,0.304,,,1.0
190,VHM,1,2020,0.03488372093023259,0.3018867924528302,0.471,0.155,0.202,0.132,0.8461538461538461,0.31,,,1.0
191,VHM,4,2019,0.3953488372093023,0.7169811320754716,0.431,0.135,0.206,0.035,1.0,0.282,0.06697710244380643,0.9330228975561935,0.0
192,VHM,3,2019,0.6046511627906976,0.8113207547169812,0.372,0.118,0.101,0.011,0.6153846153846154,0.332,0.40572040317530855,0.5942795968246914,0.0
193,VHM,2,2019,0.5697674418604651,0.6981132075471699,0.353,0.125,0.265,0.161,0.5384615384615384,0.382,0.532293986636971,0.46770601336302897,1.0
194,VHM,1,2019,1.0,1.0,0.32,0.114,-0.097,0.06,0.6153846153846154,0.356,0.7401641886902915,0.25983581130970845,1.0
195,VIC,4,2022,0.7307149576669802,0.0,0.08,0.017,9.077,-0.01,0.45714285714285724,0.191,0.7547389390243398,0.24526106097566028,1.0
196,VIC,3,2022,1.0,0.012345679012345663,0.008,0.002,-2.766,0.048,0.4,0.199,0.7704035736527683,0.2295964263472317,1.0
197,VIC,2,2022,0.0,0.11111111111111113,-0.005,-0.001,-0.805,0.032,0.4,0.2,0.803247841469271,0.19675215853072903,1.0
198,VIC,1,2022,0.551387582314205,0.14814814814814814,-0.026,-0.006,-0.13,0.027,0.19999999999999996,0.232,0.764396766419769,0.23560323358023097,1.0
199,VIC,4,2021,0.548447789275635,0.22222222222222224,-0.031,-0.007,-1.645,0.002,0.028571428571428536,0.233,0.7160293088544025,0.28397069114559753,1.0
200,VIC,3,2021,0.794214487300094,0.19753086419753085,0.047,0.01,-0.306,0.114,0.0,0.229,0.549738219895288,0.450261780104712,1.0
201,VIC,2,2021,0.7790451552210724,0.33333333333333337,0.073,0.015,-0.088,0.098,0.08571428571428567,0.213,0.48308578030607147,0.5169142196939285,0.0
202,VIC,1,2021,0.7716368767638757,0.38271604938271614,0.085,0.016,0.323,0.029,0.11428571428571427,0.194,0.23147872656947327,0.7685212734305268,0.0
203,VIC,4,2020,0.786453433678269,0.345679012345679,0.066,0.012,-0.406,-0.038,0.14285714285714288,0.186,0.6857075304409503,0.31429246955904955,1.0
204,VIC,3,2020,0.744590780809031,0.24691358024691357,0.109,0.022,0.137,0.011,0.2571428571428572,0.191,0.718821286490418,0.281178713509582,1.0
205,VIC,2,2020,0.7491768579492003,0.23456790123456792,0.094,0.02,0.099,0.043,0.2571428571428572,0.19,0.6911631907116749,0.3088368092883251,1.0
206,VIC,1,2020,0.7504703668861712,0.22222222222222224,0.104,0.019,-0.082,0.016,0.22857142857142854,0.188,0.7686989590270232,0.2313010409729768,1.0
207,VIC,4,2019,0.7632878645343367,0.4074074074074074,0.116,0.022,0.411,-0.006,0.22857142857142854,0.187,0.7622968951513609,0.23770310484863913,1.0
