,Date,Close,roe,roa,earningPerShare,bookValuePerShare,assetOnEquity,payableOnEquity
764,2021-07-20,49500.0,0.221,0.037,4946.0,25128.0,6.1,5.1
765,2021-07-21,50300.0,0.221,0.037,4946.0,25128.0,6.1,5.1
766,2021-07-22,51100.0,0.221,0.037,4946.0,25128.0,6.1,5.1
767,2021-07-23,49500.0,0.221,0.037,4946.0,25128.0,6.1,5.1
768,2021-07-26,49000.0,0.221,0.037,4946.0,25128.0,6.1,5.1
769,2021-07-27,49750.0,0.221,0.037,4946.0,25128.0,6.1,5.1
770,2021-07-28,49700.0,0.221,0.037,4946.0,25128.0,6.1,5.1
771,2021-07-29,50600.0,0.221,0.037,4946.0,25128.0,6.1,5.1
772,2021-07-30,51100.0,0.221,0.037,4946.0,25128.0,6.1,5.1
773,2021-08-02,50800.0,0.221,0.037,4946.0,25128.0,6.1,5.1
774,2021-08-03,51800.0,0.221,0.037,4946.0,25128.0,6.1,5.1
775,2021-08-04,52000.0,0.221,0.037,4946.0,25128.0,6.1,5.1
776,2021-08-05,52500.0,0.221,0.037,4946.0,25128.0,6.1,5.1
777,2021-08-06,51800.0,0.221,0.037,4946.0,25128.0,6.1,5.1
778,2021-08-09,52500.0,0.221,0.037,4946.0,25128.0,6.1,5.1
779,2021-08-10,52300.0,0.221,0.037,4946.0,25128.0,6.1,5.1
780,2021-08-11,52300.0,0.221,0.037,4946.0,25128.0,6.1,5.1
781,2021-08-12,52000.0,0.221,0.037,4946.0,25128.0,6.1,5.1
782,2021-08-13,52200.0,0.221,0.037,4946.0,25128.0,6.1,5.1
783,2021-08-16,54000.0,0.221,0.037,4946.0,25128.0,6.1,5.1
784,2021-08-17,53300.0,0.221,0.037,4946.0,25128.0,6.1,5.1
785,2021-08-18,52800.0,0.221,0.037,4946.0,25128.0,6.1,5.1
786,2021-08-19,53000.0,0.221,0.037,4946.0,25128.0,6.1,5.1
787,2021-08-20,50500.0,0.221,0.037,4946.0,25128.0,6.1,5.1
788,2021-08-23,48750.0,0.221,0.037,4946.0,25128.0,6.1,5.1
789,2021-08-24,49000.0,0.221,0.037,4946.0,25128.0,6.1,5.1
790,2021-08-25,49150.0,0.221,0.037,4946.0,25128.0,6.1,5.1
791,2021-08-26,48300.0,0.221,0.037,4946.0,25128.0,6.1,5.1
792,2021-08-27,48050.0,0.221,0.037,4946.0,25128.0,6.1,5.1
793,2021-08-30,49200.0,0.221,0.037,4946.0,25128.0,6.1,5.1
794,2021-08-31,48500.0,0.221,0.037,4946.0,25128.0,6.1,5.1
795,2021-09-01,48300.0,0.221,0.037,4946.0,25128.0,6.1,5.1
796,2021-09-06,48950.0,0.221,0.037,4946.0,25128.0,6.1,5.1
797,2021-09-07,49650.0,0.221,0.037,4946.0,25128.0,6.1,5.1
798,2021-09-08,48800.0,0.221,0.037,4946.0,25128.0,6.1,5.1
799,2021-09-09,49300.0,0.221,0.037,4946.0,25128.0,6.1,5.1
800,2021-09-10,49300.0,0.221,0.037,4946.0,25128.0,6.1,5.1
801,2021-09-13,48950.0,0.221,0.037,4946.0,25128.0,6.1,5.1
